,Total missing,Percent missing
Period,115677,97.8505811297772
Source,114982,97.26268419360842
morePhoto,114637,96.97085046270449
Notes,114040,96.46585122400988
moreVar,109964,93.01798372498266
CombMag,107435,90.87871559322608
Proxy,107293,90.75859852137576
m_HIP,107117,90.60972102387115
e_rho,107117,90.60972102387115
theta,107117,90.60972102387115
rho,107117,90.60972102387115
e_dHp,107117,90.60972102387115
dHp,107117,90.60972102387115
VarFlag,106656,90.21976348779374
Chart,106565,90.14278705442487
m_BTmag,105422,89.17592921551709
m_Hpmag,105007,88.8248828435602
AstroRef,104484,88.3824798254073
MultFlag,100301,84.84410157505626
Nsys,98825,83.59556074371078
n_CCDM,98825,83.59556074371078
CCDM,98825,83.59556074371078
Qual,97383,82.3757803380196
CoD,90338,76.41645096347426
CPD,77968,65.95273139454228
Survey,66173,55.97540137711685
HvarType,46596,39.41531746434553
BD,45058,38.11433115092456
HD,19338,16.35791503831904
BTmag,3398,2.8743507756855977
e_BTmag,3398,2.8743507756855977
VTmag,3339,2.824442978226666
e_VTmag,3339,2.824442978226666
SpType,3034,2.566445042210154
r_SpType,3034,2.566445042210154
F2,1826,1.54460403661033
e_B-V,1281,1.08359133126935
r_B-V,1281,1.08359133126935
B-V,1281,1.08359133126935
V-I,1275,1.0785159620362381
e_V-I,1275,1.0785159620362381
Hpscat,971,0.8213639208919117
o_Hpmag,971,0.8213639208919117
Hpmax,971,0.8213639208919117
HPmin,971,0.8213639208919117
e_RAdeg,263,0.2224703513847299
DE:RA,263,0.2224703513847299
e_pmDE,263,0.2224703513847299
e_pmRA,263,0.2224703513847299
e_Plx,263,0.2224703513847299
e_DEdeg,263,0.2224703513847299
pmDE,263,0.2224703513847299
Plx:DE,263,0.2224703513847299
pmRA,263,0.2224703513847299
Plx,263,0.2224703513847299
DEdeg,263,0.2224703513847299
RAdeg,263,0.2224703513847299
Plx:RA,263,0.2224703513847299
Ncomp,263,0.2224703513847299
pmRA:DE,263,0.2224703513847299
pmRA:Plx,263,0.2224703513847299
pmDE:RA,263,0.2224703513847299
pmDE:DE,263,0.2224703513847299
pmDE:Plx,263,0.2224703513847299
pmDE:pmRA,263,0.2224703513847299
F1,263,0.2224703513847299
pmRA:RA,263,0.2224703513847299
e_Hpmag,14,0.011842528210593988
Hpmag,14,0.011842528210593988
r_Vmag,1,0.0008458948721852847
Vmag,1,0.0008458948721852847
DEdms,0,0.0
RAhms,0,0.0
(V-I)red,0,0.0
HIP,0,0.0
r_V-I,0,0.0
---,0,0.0
Catalog,0,0.0
